"source","target","weight","evidence_type"
"NCAPH","NCAPG",0.000999,"Experiments + Databases"
"DDX39A","SOX2",0.000457,"Experiments"
"DDX39A","DDX39B",0.000821,"Experiments"
"HOXC6","HOXD4",8e-04,"Experiments"
"MSTO1","CCT3",0.000535,"Experiments"
"CDC25B","MELK",0.000506,"Experiments"
"CDC25B","SFN",0.000624,"Experiments"
"CDC25B","CDK1",0.000855,"Experiments"
"CDC25B","CCNA2",0.000892,"Experiments"
"CDC25B","CDC25C",9e-04,"Databases"
"CDC25B","CDC25A",9e-04,"Databases"
"DLGAP5","TOP2A",4e-04,"Text-mining"
"DLGAP5","TPX2",0.000416,"Text-mining"
"DLGAP5","ASPM",0.000489,"Text-mining"
"DLGAP5","CCNB2",0.000516,"Text-mining"
"DLGAP5","MELK",0.000563,"Text-mining"
"DLGAP5","AURKB",0.000633,"Text-mining"
"DLGAP5","KIF11",0.000751,"Text-mining"
"TRAF2","TNFRSF18",0.00048,"Experiments"
"TRAF2","TRAIP",0.000597,"Experiments"
"TRAF2","TNFRSF4",0.000618,"Experiments"
"TRAF2","RNF31",0.000933,"Experiments + Databases"
"TRAF2","TRAF5",0.000998,"Experiments + Databases"
"F2RL3","GNG4",0.000499,"Databases"
"HSPB1","NES",0.000412,"Text-mining"
"HSPB1","MAPT",0.000588,"Experiments"
"HSPB1","G6PD",0.000769,"Experiments"
"DLL4","JAG2",4e-04,"Databases"
"DLL4","NOTCH3",0.000998,"Databases"
"E2F8","E2F7",0.000957,"Experiments + Databases"
"HCN2","HCN3",0.000902,"Databases"
"TUBG1","RAD51",0.000457,"Experiments"
"NCAPG","NCAPG2",0.00054,"Databases"
"NCAPG","SMC1B",0.000542,"Experiments"
"NCAPG","NCAPD2",0.000999,"Experiments + Databases"
"SCML2","CCNB2",0.000616,"Experiments"
"SCML2","CCNE2",0.000616,"Experiments"
"SCML2","H2AC11",9e-04,"Experiments"
"SCML2","H2AC13",9e-04,"Experiments"
"SCML2","EZH2",0.000901,"Databases"
"SCML2","CBX2",0.000907,"Databases"
"SCML2","CBX8",0.000952,"Experiments + Databases"
"MICB","CD34",0.000654,"Text-mining"
"CALY","TSSK6",0.00041,"Text-mining"
"PRDM12","EHMT2",0.000433,"Text-mining"
"SLC7A10","SLC7A11",0.000499,"Databases"
"SLC7A10","SLC7A6",0.000499,"Databases"
"BPIFA2","BPIFB4",4e-04,"Databases"
"GINS2","MCMDC2",5e-04,"Experiments"
"GINS2","MCM8",5e-04,"Experiments"
"GINS2","CLSPN",8e-04,"Experiments"
"GINS2","WDHD1",0.000971,"Experiments"
"GINS2","MCM2",0.000974,"Experiments + Databases"
"GINS2","MCM3",0.000981,"Experiments + Databases"
"GINS2","MCM4",0.000982,"Experiments + Databases"
"GINS2","MCM6",0.000982,"Experiments + Databases"
"GINS2","MCM7",0.000993,"Experiments + Databases"
"GINS2","CDC45",0.000995,"Experiments + Databases"
"GINS2","GINS1",0.000999,"Experiments + Databases"
"GINS2","GINS4",0.000999,"Experiments + Databases"
"GINS2","GINS3",0.000999,"Experiments + Databases"
"PPP1R1B","EZH2",0.000414,"Text-mining"
"TESMIN","LIN9",0.000439,"Experiments"
"MYH4","SIX1",0.000424,"Experiments"
"MYH4","MYO18B",0.00054,"Databases"
"MYH4","ACTN2",0.000596,"Experiments"
"FABP4","FABP5",0.000474,"Text-mining"
"CCNB1","CDKN2A",0.000431,"Text-mining"
"CCNB1","ASPM",0.000457,"Text-mining"
"CCNB1","RECQL4",0.000461,"Experiments"
"CCNB1","TYMS",0.000463,"Text-mining"
"CCNB1","PBK",0.000464,"Text-mining"
"CCNB1","HMMR",0.000469,"Text-mining"
"CCNB1","MCM8",0.000499,"Databases"
"CCNB1","ORC1",0.000499,"Databases"
"CCNB1","UBE2S",0.000499,"Databases"
"CCNB1","SFN",0.000501,"Databases"
"CCNB1","CDC25C",0.000527,"Experiments"
"CCNB1","MCM4",0.000537,"Text-mining"
"CCNB1","PCNA",0.000564,"Experiments"
"CCNB1","CCNF",0.000574,"Experiments"
"CCNB1","PKMYT1",0.000595,"Experiments"
"CCNB1","FOXM1",0.000608,"Experiments"
"CCNB1","BUB1",0.000615,"Text-mining"
"CCNB1","MELK",0.000619,"Text-mining"
"CCNB1","CDC25A",0.000646,"Experiments"
"CCNB1","BIRC5",0.000656,"Text-mining"
"CCNB1","SPDL1",0.00072,"Databases"
"CCNB1","SKA3",0.00072,"Databases"
"CCNB1","CENPF",0.00072,"Databases"
"CCNB1","SKA1",0.00072,"Databases"
"CCNB1","DIAPH3",0.000724,"Experiments"
"CCNB1","NDC80",0.000774,"Experiments + Databases"
"CCNB1","TOP2A",0.00078,"Text-mining"
"CCNB1","UBE2C",0.000816,"Databases"
"CCNB1","H2AX",0.000893,"Text-mining"
"CCNB1","BUB1B",0.000916,"Databases"
"CCNB1","CCNA2",0.000918,"Experiments"
"CCNB1","CDC20",0.000931,"Experiments + Databases"
"CCNB1","PLK1",0.000967,"Experiments + Databases"
"CCNB1","CKS1B",0.000986,"Experiments"
"CCNB1","CKS2",0.000987,"Experiments"
"CCNB1","CCNB2",0.000991,"Experiments + Databases"
"CCNB1","CDK1",0.000999,"Experiments + Databases"
"SORT1","MDK",0.000418,"Text-mining"
"SORT1","AP1M2",0.000499,"Databases"
"SORT1","LPL",0.000729,"Experiments"
"TRIM45","AARSD1",0.00059,"Experiments"
"LAMC1","ITGA2",0.000499,"Databases"
"LAMC1","DRP2",0.000499,"Databases"
"LAMC1","LAMB4",0.00054,"Databases"
"LAMC1","COL4A1",0.000556,"Text-mining"
"LAMC1","LAMA3",0.000844,"Experiments + Databases"
"LAMC1","ITGA6",0.000963,"Experiments + Databases"
"CHRND","CHRNB4",0.00072,"Databases"
"PLXNC1","PLXNA3",0.00054,"Databases"
"PLXNC1","PLXNA1",0.00054,"Databases"
"IGF2BP3","SNRPB",0.000422,"Experiments"
"IGF2BP3","HMGA2",0.000499,"Experiments"
"IGF2BP3","KIF20A",0.000522,"Experiments"
"IGF2BP3","TTK",0.000536,"Text-mining"
"IGF2BP3","IGF2BP2",0.000691,"Experiments"
"IGF2BP3","IGF2BP1",0.000848,"Experiments"
"IGF2BP3","IGF2",0.000935,"Text-mining"
"BRIP1","PLK1",0.000412,"Text-mining"
"BRIP1","H2AX",0.000434,"Text-mining"
"BRIP1","RFC3",0.000499,"Databases"
"BRIP1","DNA2",0.000499,"Databases"
"BRIP1","XRCC2",0.000499,"Databases"
"BRIP1","XRCC3",0.000499,"Databases"
"BRIP1","RFC4",0.000499,"Databases"
"BRIP1","RMI2",0.000499,"Databases"
"BRIP1","POLD1",0.000501,"Databases"
"BRIP1","EXO1",0.000503,"Databases"
"BRIP1","BLM",0.00075,"Experiments + Databases"
"BRIP1","RAD51",0.000757,"Databases"
"BRIP1","CLSPN",8e-04,"Databases"
"BRIP1","RHNO1",8e-04,"Databases"
"BRIP1","CHEK1",8e-04,"Databases"
"BRIP1","FANCI",0.000823,"Text-mining"
"BRIP1","BARD1",0.000901,"Experiments + Databases"
"BRIP1","FANCD2",0.000902,"Experiments"
"BRIP1","BRCA2",0.000977,"Experiments + Databases"
"GABBR2","GNG4",0.000499,"Databases"
"GABBR2","KCNJ5",0.000512,"Databases"
"GABBR2","KCNJ6",0.000526,"Databases"
"GABBR2","GABRA3",0.00054,"Databases"
"GABBR2","GABRG2",0.00054,"Databases"
"GABBR2","GABRR3",0.00054,"Databases"
"GABBR2","GABRQ",0.000546,"Databases"
"GABBR2","GABRD",0.000599,"Databases"
"GABBR2","GABRE",0.00072,"Databases"
"POU5F1","TUBB4A",0.000457,"Experiments"
"POU5F1","KPNA2",0.000521,"Experiments"
"POU5F1","CDX2",0.000644,"Text-mining"
"POU5F1","H4C5",8e-04,"Experiments"
"POU5F1","H4C8",8e-04,"Experiments"
"POU5F1","H3C10",8e-04,"Experiments"
"POU5F1","H3C6",8e-04,"Experiments"
"POU5F1","H4C12",8e-04,"Experiments"
"POU5F1","H4C14",8e-04,"Experiments"
"POU5F1","H2BC11",8e-04,"Experiments"
"POU5F1","H3C2",8e-04,"Experiments"
"POU5F1","PKM",0.000943,"Text-mining"
"POU5F1","SOX2",0.000999,"Experiments + Databases"
"NRM","TRIM59",0.000542,"Experiments"
"KIF23","TOP2A",0.000407,"Experiments"
"KIF23","AURKB",0.000491,"Experiments"
"KIF23","ANLN",0.000511,"Experiments"
"KIF23","INCENP",0.000513,"Experiments"
"KIF23","KIF15",0.00054,"Databases"
"KIF23","KIFC2",0.00054,"Databases"
"KIF23","KIF18A",0.00054,"Databases"
"KIF23","KLC2",0.00054,"Databases"
"KIF23","KIF21B",0.00054,"Databases"
"KIF23","KIF5A",0.00054,"Databases"
"KIF23","KIF18B",0.000568,"Databases"
"KIF23","KIF2C",0.000575,"Databases"
"KIF23","KIFC1",0.000596,"Databases"
"KIF23","CEP55",0.000652,"Experiments"
"KIF23","PLK1",0.000654,"Experiments"
"KIF23","KIF20A",0.00066,"Experiments + Databases"
"KIF23","KIF11",0.000669,"Experiments + Databases"
"KIF23","SHCBP1",0.000675,"Experiments"
"KIF23","KIF14",0.000678,"Experiments + Databases"
"KIF23","PRC1",0.000751,"Experiments"
"KIF23","ECT2",0.000988,"Experiments + Databases"
"KIF23","RACGAP1",0.000999,"Experiments + Databases"
"MNS1","CFAP53",0.000801,"Experiments"
