"node_id","MCC","Degree","Closeness","Betweenness","Avg_Rank"
"KIF2C",0.1,23,0.269213,0.007509,72
"WDHD1",0.1,20,0.266934,0.009238,76
"UHRF1",0.1,19,0.279645,0.006482,77.5
"FOXM1",0,14,0.282414,0.017459,77.75
"POLD1",0.1,24,0.273266,0.005316,78.25
"AGO2",0,15,0.268249,0.020994,81
"MSH2",0,17,0.286055,0.009936,81.75
"EXO1",0.1,17,0.282148,0.004549,82.5
"ACTN2",0,9,0.272893,0.094511,83.75
"CCT3",0,12,0.26861,0.027175,86.25
"H2AC13",0.1,21,0.270551,0.003704,88.25
"MAD2L1",0,15,0.282148,0.009502,89.75
"CUL7",0,15,0.264226,0.017505,90
"CBX2",0.1,22,0.278994,0.003337,91.5
"CLSPN",0.2,24,0.276164,0.002397,91.75
"DNMT3A",0.1,17,0.26765,0.005506,92.5
"NDC80",0.1,17,0.26861,0.004189,93.5
"PLK4",0,9,0.272645,0.019657,95.5
"RACGAP1",0,13,0.285374,0.008134,96
"MAPT",0,8,0.266459,0.039197,96.75
"CALML6",0,14,0.24701,0.102833,97.75
"ZWINT",0,14,0.254244,0.021364,98.25
"LMNB1",0,7,0.275529,0.023256,99
"KIF14",0.1,18,0.260889,0.004161,100.75
"CENPI",0.1,20,0.260661,0.003696,100.75
"CCNE2",0,12,0.288675,0.006841,101.25
"MCM8",0.1,19,0.280168,0.002086,103
"RFC4",0.1,21,0.267053,0.003077,103
"FANCA",0,14,0.271286,0.007599,104
"KLC2",0.1,14,0.246299,0.011012,105.25
"DNA2",0.1,21,0.267769,0.002229,107
"MCM10",0.1,21,0.264109,0.002517,107
"FANCI",0.1,17,0.256971,0.00417,107.5
"BRIP1",0.1,21,0.270185,0.001715,108.25
"H2BC18",0.1,19,0.267172,0.002395,109.75
"CENPF",0,16,0.268369,0.0057,111.75
"CBX8",0.1,18,0.276802,0.001229,112
"POU5F1",0,13,0.260322,0.008903,115
"H2BC8",0.2,26,0.254785,0.001897,115.25
"BLM",0.1,21,0.260435,0.001999,116.75
"RFC3",0.1,20,0.263993,0.001646,117.25
"DTL",0,13,0.255655,0.010265,117.75
"CDC7",0.1,15,0.25446,0.00349,118
"H2BC6",0.2,25,0.254569,0.00153,118.75
"CDC25A",0,8,0.272273,0.007787,119.75
"ECT2",0,9,0.281882,0.005233,120.25
"KPNA2",0,8,0.252317,0.018569,121.5
"TCF3",0,7,0.255002,0.018733,122.75
"CENPU",0.1,18,0.258078,0.002063,123.5
"RBL1",0,10,0.257524,0.008302,126.25
"ANXA2",0,6,0.25,0.037078,126.5
"PLOD3",0,11,0.23074,0.044696,127
"GMNN",0,10,0.273017,0.003738,128
"KCNJ6",0,6,0.24459,0.049134,131.25
"NCAPG2",0,10,0.26123,0.006256,131.5
"IGF2BP2",0,7,0.249791,0.016382,132
"H2AC11",0.1,15,0.263644,0.000876,132.75
"CHEK1",0,13,0.263993,0.003404,133.25
"HJURP",0.1,17,0.248754,0.002153,134.75
"TERT",0,11,0.240659,0.013003,135.25
"NOTCH3",0,7,0.236665,0.047179,135.75
"SFN",0,8,0.268249,0.00441,135.75
"SMC1B",0,10,0.252211,0.007389,137.25
"KIFC1",0.1,14,0.247316,0.002776,137.75
"TPM2",0,8,0.225357,0.034825,141.5
"CENPE",0,14,0.265044,0.002042,144
"CKS1B",0,13,0.278734,0.001024,144.5
"DIAPH3",0,5,0.25987,0.010995,145.75
"CDC25C",0,9,0.276674,0.002164,146
"FEN1",0,12,0.260209,0.003286,146.5
"DET1",0,11,0.243101,0.007348,146.75
"ANLN",0,7,0.239792,0.015532,147
"IGF2BP3",0,7,0.24008,0.014898,147.5
"TACC3",0,5,0.251258,0.015523,147.5
"CKS2",0,12,0.278475,0.000984,148
"MYCN",0,4,0.26295,0.012043,148.75
"INCENP",0,8,0.257856,0.003755,148.75
"DMC1",0,9,0.258524,0.00339,149.5
"GINS3",0.1,16,0.258747,1e-04,149.5
"CENPH",0.1,18,0.24479,0.000723,149.75
"RPL30",0,10,0.228364,0.012925,150
"KIF21B",0.1,14,0.24469,0.001323,151.75
"GNG4",0,11,0.207052,0.033852,152.25
"GINS4",0.1,16,0.254785,8.1e-05,154.5
"DSN1",0,10,0.255764,0.003156,155.75
"LIG1",0,8,0.263297,0.002556,156.5
"ASF1B",0,14,0.257524,0.001162,157.25
"PKN1",0,8,0.25253,0.003551,157.5
"GINS2",0.1,15,0.256971,4.6e-05,158
"TRAIP",0,3,0.254244,0.017809,158
"E2F5",0,9,0.257634,0.002421,160
"SKA1",0,8,0.258636,0.002746,160.25
"SKA3",0,8,0.258636,0.002746,160.25
"EGF",0,8,0.206267,0.034504,161
"GRIN2A",0,7,0.225697,0.014673,161.25
"SPAG5",0,5,0.268489,0.003402,162.25
"ASPM",0,6,0.260209,0.003456,162.5
"KIF15",0.1,14,0.243595,0.000389,163.25
"IGF2BP1",0,5,0.246807,0.009333,164.5
"TUBB4A",0,8,0.239888,0.006238,165
"RHOF",0,5,0.228104,0.020757,166
"GABBR2",0,9,0.205559,0.019335,166.25
"RRM2",0,7,0.276802,0.000646,167.75
"GINS1",0.1,14,0.252423,5e-06,168.5
"IGF2",0,5,0.221196,0.028114,168.75
"KIF18A",0.1,14,0.24459,0.000125,169.25
"CDC20B",0,12,0.263181,0.000246,169.25
"FLNC",0,5,0.223758,0.020154,170
"NUF2",0,11,0.252317,0.001306,171.25
"SCML2",0,8,0.266815,0.000591,171.5
"CHTF18",0,8,0.253814,0.002143,171.5
"RAD51AP1",0,13,0.255764,0.000312,171.75
"TONSL",0,11,0.258859,0.00041,171.75
"CDH8",0,6,0.214695,0.018528,172.75
"HDAC11",0,9,0.261915,0.000414,173.75
"LEF1",0,6,0.237604,0.007338,174
"PDGFA",0,7,0.201819,0.023627,175
"MDFI",0,6,0.209002,0.027188,175.5
"CENPM",0.1,16,0.23704,6.2e-05,177.5
"CENPL",0.1,16,0.23704,6.2e-05,177.5
"CENPW",0.1,16,0.23704,6.2e-05,177.5
"CENPO",0.1,16,0.23704,6.2e-05,177.5
"CENPK",0.1,16,0.23704,6.2e-05,177.5
"COL4A1",0,8,0.205278,0.012365,181
"RMI2",0,14,0.248857,0.000154,181.75
"PPP2R2C",0,7,0.222263,0.007215,181.75
"COL4A2",0,8,0.197755,0.017905,182.5
"HMGA1",0,4,0.275402,0.001664,182.75
"CACNG4",0,8,0.192234,0.019764,183.25
"FANCG",0,13,0.243694,0.000634,183.25
"GRIN2C",0,5,0.225527,0.010915,183.75
"KIF22",0.1,13,0.243298,0,184
"KIFC2",0.1,13,0.243298,0,184
"KIF5A",0.1,13,0.243298,0,184
"KIF18B",0.1,13,0.243298,0,184
"SPP1",0,7,0.193351,0.022696,184.5
"PKM",0,5,0.224513,0.010088,186
"BCL9",0,7,0.233165,0.00363,186.25
"PKMYT1",0,7,0.271532,4e-05,187
"POLA2",0,10,0.252743,0.000129,187.5
"PRIM1",0,10,0.252743,0.000129,187.5
"PRIM2",0,10,0.252743,0.000129,187.5
"COL9A1",0,9,0.204507,0.007895,188
