gene_A	gene_B	combined_score	neighborhood	fusion	cooccurence	coexpression	experiments	database	textmining	evidence_type
PLOD3	COL4A2	0.000725	0	0	0	0	0.473	0.5	0	Experiments + Databases
PLOD3	COL4A1	0.000726	0	0	0	0	0.475	0.5	0	Experiments + Databases
KAT2A	MSH2	0.000438	0	0	0	0	0	0	0.438	Text-mining
KAT2A	E2F1	0.000457	0	0	0	0	0.457	0	0	Experiments
KAT2A	WDHD1	0.000457	0	0	0	0	0.457	0	0	Experiments
KAT2A	TCF3	0.000457	0	0	0	0	0.457	0	0	Experiments
KAT2A	H4C14	0.000459	0	0	0	0	0.398	0	0.138	Experiments
KAT2A	PYGO2	0.000487	0	0	0	0	0.292	0	0.306	Experiments
KAT2A	H2BC17	0.000499	0	0	0	0	0	0.5	0	Databases
KAT2A	H2BC11	0.000499	0	0	0	0	0	0.5	0	Databases
KAT2A	H2AC13	0.000499	0	0	0	0	0	0.5	0	Databases
KAT2A	H2BC15	0.000499	0	0	0	0	0	0.5	0	Databases
KAT2A	H2BC18	0.000499	0	0	0	0	0	0.5	0	Databases
KAT2A	NOTCH3	0.000499	0	0	0	0	0	0.5	0	Databases
KAT2A	H2BC9	0.000499	0	0	0	0	0	0.5	0	Databases
KAT2A	TACC3	0.00074	0	0	0	0	0.292	0	0.649	Experiments
KAT2A	YEATS2	0.000848	0	0	0	0	0.48	0.72	0	Experiments + Databases
IBSP	SPP1	0.000765	0	0	0	0	0	0	0.765	Text-mining
ASIC1	ASIC3	0.00056	0	0	0	0	0	0.5	0.157	Databases
RAD51AP1	H2AZ1	0.000407	0	0	0	0	0	0	0.407	Text-mining
RAD51AP1	CHEK1	0.000429	0	0	0	0	0	0	0.429	Text-mining
RAD51AP1	RMI2	0.000499	0	0	0	0	0	0.5	0	Databases
RAD51AP1	DNA2	0.000499	0	0	0	0	0	0.5	0	Databases
RAD51AP1	XRCC2	0.000499	0	0	0	0	0	0.5	0	Databases
RAD51AP1	XRCC3	0.000499	0	0	0	0	0	0.5	0	Databases
RAD51AP1	BRCA2	0.000499	0	0	0	0	0	0.5	0	Databases
RAD51AP1	BARD1	0.000499	0	0	0	0	0	0.5	0	Databases
RAD51AP1	BLM	0.000499	0	0	0	0	0	0.5	0	Databases
RAD51AP1	BRIP1	0.000499	0	0	0	0	0	0.5	0	Databases
RAD51AP1	EXO1	0.000555	0	0	0	0	0	0.5	0.147	Databases
RAD51AP1	RAD51	0.000896	0	0	0	0	0.457	0.5	0.651	Experiments + Databases
FZD10	WNT3A	0.000692	0	0	0	0	0.078	0.5	0.386	Experiments + Databases
FANCE	CHEK1	0.000461	0	0	0	0	0.292	0	0.27	Experiments
FANCE	RPL30	0.000495	0	0	0	0	0.496	0	0	Experiments
FANCE	EME2	0.000499	0	0	0	0	0	0.5	0	Databases
FANCE	POLN	0.000499	0	0	0	0	0	0.5	0	Databases
FANCE	EME1	0.000499	0	0	0	0	0	0.5	0	Databases
FANCE	FANCI	0.000949	0	0	0	0	0.8	0.5	0.533	Experiments + Databases
FANCE	UBE2T	0.00097	0	0	0	0	0.8	0.8	0.333	Experiments + Databases
FANCE	FANCD2	0.000972	0	0	0	0	0.897	0.5	0.515	Experiments + Databases
FANCE	FAAP24	0.000983	0	0	0	0	0	0.9	0.839	Databases
