"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","ENSEMBL","hgnc_symbol","gene_biotype"
"ENSG00000287682.1",4.89623230725237,-1.47901133701646,0.269755803479204,-5.48277856468982,4.18696968922334e-08,1.37967267376119e-07,"Downregulated","ENSG00000287682",NA,NA
"ENSG00000254333.1",15.1188274100307,1.80323576692494,0.3289517911779,5.4817630281567,4.21108052059608e-08,1.38741644054427e-07,"Upregulated","ENSG00000254333","NDST1-AS1","lncRNA"
"ENSG00000165091.18",6.52752378405517,1.2681955687766,0.231381473741982,5.48097282062778,4.22993467556861e-08,1.39322439031553e-07,"Upregulated","ENSG00000165091","TMC1","protein_coding"
"ENSG00000145692.15",16674.0811190681,-1.59424125001371,0.290917001549898,-5.48005527872273,4.25192969984421e-08,1.39965766947804e-07,"Downregulated","ENSG00000145692","BHMT","protein_coding"
"ENSG00000278959.1",6.05935378049575,1.40935199049547,0.257198173628943,5.47963451921211,4.26205306065721e-08,1.40278693988906e-07,"Upregulated","ENSG00000278959","","TEC"
"ENSG00000255521.2",4.17410892788199,2.51224634262699,0.458528888330678,5.4789270786691,4.27912658993266e-08,1.4079986593684e-07,"Upregulated","ENSG00000255521","CD44-DT","lncRNA"
"ENSG00000245662.4",8.66217676228456,2.79815492995293,0.510762424288883,5.4783883795851,4.29217213023413e-08,1.41167808595314e-07,"Upregulated","ENSG00000245662","LINC02211","lncRNA"
"ENSG00000137809.17",203.989710752004,1.0993693226405,0.20071677667668,5.47721690654386,4.32067463922782e-08,1.42023043455746e-07,"Upregulated","ENSG00000137809","ITGA11","protein_coding"
"ENSG00000188620.11",6.24102809871965,3.60032147769147,0.657325622951724,5.47722673813354,4.3204346700274e-08,1.42023043455746e-07,"Upregulated","ENSG00000188620","HMX3","protein_coding"
"ENSG00000273443.1",5.87638018798632,2.06162898955284,0.376547094440629,5.47508935798706,4.37290890433226e-08,1.43677680536965e-07,"Upregulated","ENSG00000273443","","lncRNA"
"ENSG00000147647.13",12633.8980646851,-1.21758913665311,0.222398133293224,-5.47481725059157,4.3796335160345e-08,1.43857037311364e-07,"Downregulated","ENSG00000147647","DPYS","protein_coding"
"ENSG00000153779.11",3.60155771979347,4.00367865798522,0.7313804427097,5.47413961898125,4.39642348113985e-08,1.44366809775078e-07,"Upregulated","ENSG00000153779","TGIF2LX","protein_coding"
"ENSG00000241489.8",8.46598839802807,1.38555318328913,0.253145445447776,5.47334825968642,4.41611032532101e-08,1.44971386040651e-07,"Upregulated","ENSG00000241489","","protein_coding"
"ENSG00000259370.2",181.276082600752,-1.35079999796809,0.2468082328104,-5.47307511822666,4.42292515406031e-08,1.45174135381647e-07,"Downregulated","ENSG00000259370","","lncRNA"
"ENSG00000278909.1",3.64088179459979,3.11572243419642,0.569354367505026,5.47237820946182,4.44035912463678e-08,1.4572532905428e-07,"Upregulated","ENSG00000278909","","TEC"
"ENSG00000118137.10",281424.025071026,-1.32350186766031,0.241871553414631,-5.47192031876309,4.45185003233129e-08,1.46081350129768e-07,"Downregulated","ENSG00000118137","APOA1","protein_coding"
"ENSG00000129673.10",4.40690891315118,1.63824204860357,0.299460928124539,5.47063705059468,4.48420786888775e-08,1.47100656458101e-07,"Upregulated","ENSG00000129673","AANAT","protein_coding"
"ENSG00000259732.1",3.79656084551986,1.62806513201517,0.297621080212474,5.47026148434407,4.4937208906994e-08,1.47391451436648e-07,"Upregulated","ENSG00000259732","","lncRNA"
"ENSG00000275426.1",4.81854365291864,1.35134569878232,0.247153979709473,5.46762670126055,4.56101171355859e-08,1.49533818331439e-07,"Upregulated","ENSG00000275426","","lncRNA"
"ENSG00000167037.19",64.7891092798757,1.30945168481697,0.239539821344922,5.46653027235688,4.58930078877418e-08,1.50417890308345e-07,"Upregulated","ENSG00000167037","SGSM1","protein_coding"
"ENSG00000118972.3",9.2988949963268,-3.57397441467006,0.65384613936738,-5.4660786375951,4.60100286129395e-08,1.507579573839e-07,"Downregulated","ENSG00000118972","FGF23","protein_coding"
"ENSG00000260193.1",12.3965226958925,1.21976406028211,0.223236511721129,5.46399892597254,4.65526351698762e-08,1.52491914888498e-07,"Upregulated","ENSG00000260193","LINC02846","lncRNA"
"ENSG00000215833.3",3.06477094532393,2.3413897702151,0.428655689167534,5.46216889075278,4.70352268083217e-08,1.54028339627309e-07,"Upregulated","ENSG00000215833","QRSL1P1","processed_pseudogene"
"ENSG00000187690.4",5.40618079649436,4.23635269840966,0.775675820190491,5.46149897694284,4.72130969683764e-08,1.54566281735733e-07,"Upregulated","ENSG00000187690","EZHIP","protein_coding"
"ENSG00000067057.18",616.403215421734,1.36275302179475,0.24953696626445,5.46112683100649,4.73121877219964e-08,1.54846080190206e-07,"Upregulated","ENSG00000067057","PFKP","protein_coding"
"ENSG00000074276.10",1930.27132592383,-1.9140206055389,0.350500073538621,-5.46082797134704,4.73919105780939e-08,1.5508467138498e-07,"Downregulated","ENSG00000074276","CDHR2","protein_coding"
"ENSG00000237422.2",14.7774261582037,1.30175121107997,0.238436583874552,5.4595280217773,4.77401987116677e-08,1.56156960241215e-07,"Upregulated","ENSG00000237422",NA,NA
"ENSG00000101115.13",162.283251835845,1.85495987068349,0.339812125169245,5.45878070054041,4.79415461238284e-08,1.5670281038174e-07,"Upregulated","ENSG00000101115","SALL4","protein_coding"
"ENSG00000200534.1",24.7096336903755,1.00159562873738,0.18348533145078,5.45872316232567,4.79570824703545e-08,1.56731054572417e-07,"Upregulated","ENSG00000200534","SNORA33","snoRNA"
"ENSG00000259015.1",6.99985158104549,1.05180278471705,0.192691074423992,5.45849250081348,4.80194142162177e-08,1.56912203153339e-07,"Upregulated","ENSG00000259015","","processed_pseudogene"
"ENSG00000227486.2",13.7176852909872,1.38499700347574,0.253828348881161,5.45643151988579,4.85798506517521e-08,1.58697902459662e-07,"Upregulated","ENSG00000227486","","lncRNA"
"ENSG00000080493.18",1462.27842080702,-1.2513133744871,0.229482979042292,-5.45275026369817,4.95966996122645e-08,1.61856853149573e-07,"Downregulated","ENSG00000080493","SLC4A4","protein_coding"
"ENSG00000188153.14",349.900973775054,1.72432901002146,0.316388446405551,5.45003785571609,5.03590997135342e-08,1.6425058638092e-07,"Upregulated","ENSG00000188153","COL4A5","protein_coding"
"ENSG00000273416.1",4.63505259739642,1.43313882601197,0.262960861083344,5.45000811188301,5.03675227110433e-08,1.64254489414923e-07,"Upregulated","ENSG00000273416","","lncRNA"
"ENSG00000236617.2",5.97561620342499,1.33811611784605,0.245557692347828,5.44929423734214,5.05700912080274e-08,1.64867781577519e-07,"Upregulated","ENSG00000236617","CHFR-DT","lncRNA"
"ENSG00000236307.2",4.23668770299458,1.36274911584076,0.250192984968617,5.44679186753257,5.12864159566129e-08,1.67164808581898e-07,"Upregulated","ENSG00000236307","EEF1E1P1","transcribed_processed_pseudogene"
"ENSG00000173369.17",5982.89260871284,-1.08085471451346,0.19845216417465,-5.44642442680665,5.13924236030607e-08,1.67476672186031e-07,"Downregulated","ENSG00000173369","C1QB","protein_coding"
"ENSG00000151846.8",14.5003104955521,1.02392114647814,0.18801135905663,5.44606002326557,5.14977647455707e-08,1.67795899178157e-07,"Upregulated","ENSG00000151846","PABPC3","protein_coding"
"ENSG00000143546.10",221.778748771731,-1.51402277792791,0.278012082265909,-5.44588841458982,5.1547445537972e-08,1.67933701745464e-07,"Downregulated","ENSG00000143546","S100A8","protein_coding"
"ENSG00000224081.9",58.585824939393,1.25527893228946,0.230615482671789,5.44316850606241,5.23410907187724e-08,1.70275224279046e-07,"Upregulated","ENSG00000224081","SLC44A3-AS1","transcribed_processed_pseudogene"
"ENSG00000230537.2",27.4597854707092,1.01346555791747,0.186247697346654,5.44149308880396,5.28358433095393e-08,1.71860148601292e-07,"Upregulated","ENSG00000230537","LINC02937","lncRNA"
"ENSG00000250493.2",3.37360516220943,3.19261280500012,0.586746599670591,5.44121228276825,5.29192079246729e-08,1.72082059531876e-07,"Upregulated","ENSG00000250493","","lncRNA"
