"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Ontology","Direction","GeneRatio","p.adjust","Count"
"Acute-Phase Response (GO:0006953)","5/13",0.00049121271125708,0.00974004633178325,0,0,10.5284598214286,80.2124746300953,"CRP;APCS;IL6;EHHADH;MBL2","BP","Down",0.384615384615385,0.00974004633178325,5
"Cellular Modified Amino Acid Catabolic Process (GO:0042219)","5/13",0.00049121271125708,0.00974004633178325,0,0,10.5284598214286,80.2124746300953,"ALDH4A1;GOT2;SARDH;HOGA1;AGXT","BP","Down",0.384615384615385,0.00974004633178325,5
"Negative Regulation Of Bone Mineralization (GO:0030502)","5/13",0.00049121271125708,0.00974004633178325,0,0,10.5284598214286,80.2124746300953,"CCR1;SRGN;ECM1;CCL3;FGF23","BP","Down",0.384615384615385,0.00974004633178325,5
"Regulation Of Epithelial Cell Proliferation (GO:0050678)","14/91",0.000539797625865452,0.0106426009190518,0,0,3.07634399803617,23.1473851521317,"C5AR1;IGF1;MCC;ZFP36L1;BMP5;TGFBR3;EPB41L4B;NR4A1;ZFP36;SFRP1;DUSP10;NR4A3;MYC;NKX3-1","BP","Down",0.153846153846154,0.0106426009190518,14
"Lipid Biosynthetic Process (GO:0008610)","12/71",0.000556615239052446,0.0108628183348979,0,0,3.43843939878478,25.7664143986985,"LIPC;ACSM3;SCP2;SRD5A2;ACSL1;SRD5A1;ACSM2A;FITM1;ACSM5;MLYCD;ACACB;CBR4","BP","Down",0.169014084507042,0.0108628183348979,12
"Cellular Response To Interleukin-1 (GO:0071347)","13/81",0.000557228145133093,0.0108628183348979,0,0,3.23332363520948,24.2257931079303,"EGR1;CCL23;PTGIS;IL1RAP;SFRP1;IL1B;CCL4;CCL3;CCL2;HAS2;GBP1;MYD88;NKX3-1","BP","Down",0.160493827160494,0.0108628183348979,13
"Activation Of Phospholipase C Activity (GO:0007202)","7/27",0.000574554736544214,0.0109502332615809,0,0,5.90272808586762,44.0456563567812,"P2RY12;C5AR1;ANG;NMUR1;AVPR1A;SELE;RASGRP4","BP","Down",0.259259259259259,0.0109502332615809,7
"Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429)","7/27",0.000574554736544214,0.0109502332615809,0,0,5.90272808586762,44.0456563567812,"AGXT2;IL1B;HBB;PTGS2;KLF4;TLR4;ASS1","BP","Down",0.259259259259259,0.0109502332615809,7
"Embryonic Digestive Tract Morphogenesis (GO:0048557)","4/8",0.000580646374677486,0.0109502332615809,0,0,16.8340767172168,125.436911264178,"PDGFRA;FOXF1;ID2;TCF21","BP","Down",0.5,0.0109502332615809,4
"Fat-Soluble Vitamin Catabolic Process (GO:0042363)","4/8",0.000580646374677486,0.0109502332615809,0,0,16.8340767172168,125.436911264178,"CYP26A1;CYP4F2;CYP3A4;FGF23","BP","Down",0.5,0.0109502332615809,4
"Negative Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002701)","4/8",0.000580646374677486,0.0109502332615809,0,0,16.8340767172168,125.436911264178,"IL10;CR1;LILRB1;FCGR2B","BP","Down",0.5,0.0109502332615809,4
"Triglyceride-Rich Lipoprotein Particle Remodeling (GO:0034370)","4/8",0.000580646374677486,0.0109502332615809,0,0,16.8340767172168,125.436911264178,"CETP;LIPC;LCAT;APOA5","BP","Down",0.5,0.0109502332615809,4
"Negative Regulation Of Apoptotic Process (GO:0043066)","45/482",0.000611852144659542,0.011368211426423,0,0,1.75800915331808,13.0075447068537,"LTK;CITED2;FHL2;NDNF;VTCN1;ASCL1;MPO;THBS1;NUGGC;FOXO1;SOCS2;SOCS3;HMGN5;MYC;APOH;NTF3;PIM1;PDK4;CCL2;PPARGC1A;MCL1;IL10;PLK3;EGR3;TSLP;HGF;SERPINB9;IGF1;KLF4;FABP1;NR4A2;MAG;SFRP1;IL6;TCIM;AXL;ALB;IL2RB;CAT;SPRY2;TEK;ATF5;IL6ST;FXN;RETREG1","BP","Down",0.0933609958506224,0.011368211426423,45
"Positive Regulation Of Leukocyte Activation (GO:0002696)","6/20",0.000612090515517879,0.011368211426423,0,0,7.2236690923018,53.4452576390443,"IL33;TSLP;EHHADH;CD226;THBS1;TLR4","BP","Down",0.3,0.011368211426423,6
"Fat Cell Differentiation (GO:0045444)","11/62",0.000612638483210693,0.011368211426423,0,0,3.64459464216566,26.9617473353403,"NR4A2;NR4A1;EGR2;STEAP4;NR4A3;ATF5;ZFPM2;GDF6;KLF4;PPARGC1A;FOXO1","BP","Down",0.17741935483871,0.011368211426423,11
"Positive Regulation Of Cellular Process (GO:0048522)","53/594",0.000618883806940972,0.0114230149472616,0,0,1.67548693684995,12.3778155894174,"VIPR1;FLT3;CITED2;CD81;HP;HBB;EPB41L4B;ZFP36;HMGN5;MYC;NAMPT;DPF3;NKX3-1;MFSD2A;PDGFRA;CR1;SERPINF2;GLP2R;NRG1;LIFR;AVPR1A;HBA1;SFRP1;GAREM1;IL1B;IL6ST;FXN;TLR4;S100A8;TSPYL5;CSF1R;CTF1;TNXB;CCDC25;LILRA2;THBS1;ZFP36L1;SERTAD1;NTF3;CXCR2;HAS2;FGF23;WNT2;LGI1;EGR2;TSLP;IGF1;BMP5;FOSL1;IL6;CXCL12;SAA1;FCGR2B","BP","Down",0.0892255892255892,0.0114230149472616,53
